address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"225 Holburn St, Aberdeen AB10 6BL",Holburn Bar,Aberdeen,N/A,pending,805,1224211941,2025-05-12 21:40:28.990221,4.2,AB1 8,https://www.belhaven.co.uk/pubs/aberdeen/holburn-bar?utm_source=g_places&utm_medium=locations&utm_campaign=PS_pubpage
"11 Holburn St, Aberdeen AB10 6BS",Travancore Restaurant Aberdeen,Aberdeen,N/A,pending,599,1224588909,2025-05-12 21:40:38.537704,4.7,AB1 8,https://www.travancorerestaurant.co.uk/
"47 Belmont St, Aberdeen AB10 1JS",Kultura,Aberdeen,N/A,pending,56,1224083588,2025-05-12 21:40:47.339907,4.6,AB1 8,https://www.facebook.com/KulturaAberdeen/
"Guild St, Aberdeen AB11 5RG",COSMO All You Can Eat World Buffet Restaurant | Aberdeen,Aberdeen,N/A,pending,2289,1224588555,2025-05-12 21:41:03.068367,4.3,AB1 8,https://www.cosmo-restaurants.co.uk/restaurants/aberdeen?utm_source=local&utm_medium=organic&utm_campaign=gmb_aberdeen
"50 Chapel St, Aberdeen AB10 1SN",The Atrium Restaurant & Bar,Aberdeen,N/A,pending,204,1224576229,2025-05-12 21:41:20.059875,4.3,AB1 8,http://www.thesilverdarling.co.uk/
"Pocra Quay, Aberdeen AB11 5DQ",The Silver Darling,Aberdeen,N/A,pending,1329,1224595588,2025-05-12 21:41:27.620281,4.6,AB1 8,http://www.8848restaurant.co.uk/
"263 Union St, Aberdeen AB11 6BR",8848 Restaurant,Aberdeen,N/A,pending,679,1224002187,2025-05-12 21:41:34.304753,4.6,AB1 8,http://www.gidigrill.com/
"263 Union St, Aberdeen AB11 6BR","Gidi Grill, Aberdeen",Aberdeen,N/A,pending,239,1224581100,2025-05-12 21:41:41.150549,4.6,AB1 8,https://www.cafeandaluz.com/
"5 Bon-Accord St, Aberdeen AB11 6FX",Cafe Andaluz,Aberdeen,N/A,pending,1857,1224973855,2025-05-12 21:41:58.808067,4.5,AB1 8,https://www.thealbyn.co.uk/
"38 Union St, Aberdeen AB10 1BD",The Albyn,Aberdeen,N/A,pending,275,1224634815,2025-05-12 21:42:12.878084,4.4,AB1 8,http://www.theesslemont.co.uk/
"62 Union Row, Aberdeen AB10 1SA",Rustico,Aberdeen,N/A,pending,1257,1224658444,2025-05-12 21:42:20.338085,4.5,AB1 8,http://www.rustico-restaurant.co.uk/
"9 Correction Wynd, Aberdeen AB10 1HP",Moonfish Cafe,Aberdeen,N/A,pending,446,1224644166,2025-05-12 21:42:26.470356,4.6,AB1 8,http://www.moonfishcafe.co.uk/
"St Andrew St, Aberdeen AB25 1LR",Cartoos Grill House & Desserts,Aberdeen,N/A,pending,485,1224945559,2025-05-12 21:42:42.629287,4.2,AB1 8,http://www.chopgrillbar.com/
"23 Windmill Brae, Aberdeen AB11 6HU",Chop Grill & Bar,Aberdeen,N/A,pending,208,1224210677,2025-05-12 21:42:48.766496,4.3,AB1 8,http://cafebohemerestaurant.co.uk/
"Guild St, Aberdeen AB11 5RG",Café Bohème,Aberdeen,N/A,pending,523,7404561623,2025-05-12 21:42:54.868592,4.7,AB1 8,https://www.estabulo.co.uk/locations/restaurant-aberdeen/
"80-82 Huntly St, Aberdeen AB10 1TD",Estabulo Rodizio Bar & Grill - Aberdeen,Aberdeen,N/A,pending,1105,1224639198,2025-05-12 21:43:01.572134,4.8,AB1 8,https://www.amoreitalianrestaurant.co.uk/
"257-259 Union St, Aberdeen AB11 6BR",Mi Amore,Aberdeen,N/A,pending,1041,1224590300,2025-05-12 21:43:11.135053,4.6,AB1 8,http://amaronerestaurant.co.uk/
"77-79 Skene St, Aberdeen AB10 1QD",Amarone,Aberdeen,N/A,nowebsite,1479,1224636093,2025-05-12 21:43:18.407435,4.5,AB1 8,N/A
"1 Mid Stocket Rd, Aberdeen AB15 5NE",Nargile Restaurant,Aberdeen,N/A,pending,519,1224977896,2025-05-12 21:43:24.454587,4.6,AB1 8,http://www.miltononthecorner.co.uk/
"Unite 10A, Belmont St, Aberdeen AB10 1LB",Milton on the Corner,Aberdeen,N/A,pending,416,1224637850,2025-05-12 21:43:30.908948,4.5,AB1 8,https://www.lailaturkishcuisine.co.uk/
"17 Adelphi, Aberdeen AB11 5BL",Laila Turkish Cuisine,Aberdeen,N/A,nowebsite,235,1224210530,2025-05-12 21:43:37.137484,4.8,AB1 8,N/A
"7 Summer St, Aberdeen AB10 1SB",Goulash,Aberdeen,N/A,pending,351,1224460211,2025-05-12 21:43:47.226687,4.7,AB1 8,http://madamemews.com/
"155 Union St, Aberdeen AB11 6BE",Madame Mew's,Aberdeen,N/A,pending,673,1224588338,2025-05-12 21:43:54.206657,4.6,AB1 8,https://www.chopstixnoodles.co.uk/stores/aberdeen-trinity
"367 Union St, Aberdeen AB11 6BT",Chopstix - Aberdeen Trinity Centre,Aberdeen,N/A,pending,1461,1224581555,2025-05-12 21:44:00.952578,4.7,AB1 8,https://wildgingerunionstreet.co.uk/
"11-15 Thistle St, Aberdeen AB10 1XZ",Wild Ginger Restaurant,Aberdeen,N/A,pending,557,1115101,2025-05-12 21:44:07.554514,4.4,AB1 8,http://foodstorycafe.co.uk/
"26 Union St, Aberdeen AB10 1BD",Foodstory,Aberdeen,N/A,pending,1189,1224531074,2025-05-12 21:44:14.622219,4.5,AB1 8,https://www.millerandcarter.co.uk/restaurants/scotland-and-northern-ireland/millerandcarteraberdeen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
"21 Bon-Accord Terrace, Aberdeen AB11 6DP",Miller & Carter Aberdeen,Aberdeen,N/A,pending,4774,1224588000,2025-05-12 21:44:27.337660,4.7,AB1 8,http://www.cafeharmony.co.uk/
"101 Crown St, Aberdeen AB11 6HH",Cafe Harmony,Aberdeen,N/A,pending,420,2045244246,2025-05-12 21:44:34.578808,4.7,AB1 8,https://www.instagram.com/oyo_brentwood_restaurant
"22 Upperkirkgate, Aberdeen AB10 1BA",Brentwood Restaurant,Aberdeen,N/A,pending,13,1224633777,2025-05-12 21:44:41.517339,4.4,AB1 8,http://thepigswings.co.uk/
"210 Market St, Aberdeen AB11 5PQ",The Pig's Wings - Restaurant and Cocktail Bar,Aberdeen,N/A,pending,481,1224211857,2025-05-12 21:44:47.754373,4.7,AB1 8,http://www.210bistro.com/
"Unit 1, 2 The Grn, Aberdeen AB11 6NY",210 Bistro,Aberdeen,N/A,pending,207,1224586180,2025-05-12 21:44:55.781611,4.4,AB1 8,http://www.bistroverdeaberdeen.co.uk/
"Unit 1, 2 The Grn, Aberdeen AB11 6NY",Bistro Verde,Aberdeen,N/A,pending,303,1224518616,2025-05-12 21:45:14.744802,4.4,AB1 8,https://thetownhouseaberdeen.com/
"18 Guild St, Aberdeen AB11 6NE",The TownHouse,Aberdeen,N/A,pending,80,1224573323,2025-05-12 21:45:28.884462,4.1,AB1 8,https://sumacafe.co.uk/
"49-53 Queen's Rd, Aberdeen AB15 4YP",Suma Restaurant & Cocktail Bar,Aberdeen,N/A,pending,163,1224507097,2025-05-12 21:45:37.219941,4.5,AB1 8,https://www.malmaison.com/food-drink/brasserie/
"13 Crown St, Aberdeen AB11 6HA",Chez Mal Aberdeen,Aberdeen,N/A,pending,485,1224596537,2025-05-12 21:45:46.039217,4.4,AB1 8,https://www.seoul-aberdeen.co.uk/
"52 The Grn, Aberdeen AB11 6PE",Seoul Restaurant Korean BBQ & Japanese Aberdeen,Aberdeen,N/A,pending,282,7300875536,2025-05-12 21:45:52.939915,4.2,AB1 8,http://cafe52onthegreen.co.uk/
"37-39 Netherkirkgate, Aberdeen AB10 1AU",Cafe 52,Aberdeen,N/A,pending,583,1224649592,2025-05-12 21:46:01.405448,4.5,AB1 8,https://thecitybaranddiner.wordpress.com/
"145 Crown St, Aberdeen AB11 6HP",The City Bar and Diner,Aberdeen,N/A,pending,259,1224210288,2025-05-12 21:46:12.757319,4.5,AB1 8,http://www.thejewelaberdeen.com/
