address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"84 Deansgate, Manchester M3 2ER",Las Iguanas - Manchester - Deansgate,Manchester,N/A,pending,2333,1615492175,2025-05-16 01:54:47.908104,4.3,M1 1,https://www.iguanas.co.uk/restaurants/manchester-deansgate/?utm_source=google&utm_medium=organic&utm_campaign=google_lpm_lasiguanas_manchester_deansgate
"Faulkner House, New York St, Manchester M1 4DY",Higher Ground,Manchester,N/A,pending,318,1612362931,2025-05-16 01:54:58.351839,4.7,M1 1,http://highergroundmcr.co.uk/
"Ground Floor, Store Street Exchange, One Piccadilly Place, 1 Piccadilly, Auburn St, Manchester M1 3DG",Store Street Exchange Restaurant,Manchester,N/A,pending,280,1612421020,2025-05-16 01:55:04.587006,4.1,M1 1,http://www.storestreetmanchester.co.uk/
"46-50 Oldham St, Manchester M4 1LE",Turtle Bay Manchester Northern Quarter,Manchester,N/A,pending,14403,1612358411,2025-05-16 01:55:11.429674,4.8,M1 1,https://turtlebay.co.uk/restaurants/manchester-nq?utm_source=ExtNet&utm_medium=Yext
"Malmaison Manchester, 1-3 Piccadilly, Manchester M1 1LZ",Aplus Oriental Restaurant,Manchester,N/A,pending,213,,2025-05-16 01:55:22.838344,4.1,M1 1,https://www.malmaison.com/locations/manchester/chez-mal-brasserie-bar/
"108 High St, Manchester M4 1HQ",TNQ - The Northern Quarter Restaurant & Bar,Manchester,N/A,pending,1224,1618327115,2025-05-16 01:55:29.277366,4.5,M1 1,https://www.tnq.co.uk/#tnq-northern-quarter-restaurant-home
"61 Piccadilly, Manchester M1 2AG",Bundobust Manchester Piccadilly,Manchester,N/A,pending,3701,1613596757,2025-05-16 01:55:38.735220,4.6,M1 1,http://www.bundobust.com/
"120 Grosvenor St, Manchester M1 7HL",Sandbar Manchester,Manchester,N/A,pending,1163,7572266261,2025-05-16 01:55:47.648038,4.6,M1 1,http://sandbarmanchester.co.uk/
"33-35 Oxford St, Manchester M1 4WB",Turtle Bay Manchester Oxford Rd,Manchester,N/A,pending,18732,1612364101,2025-05-16 01:55:54.035743,4.8,M1 1,http://www.turtlebay.co.uk/locations/manchester-oxford-st/?utm_source=ExtNet&utm_medium=Yext
"1 St Peter's Sq, Oxford St, Manchester M1 5AN",Fumo by San Carlo - Manchester,Manchester,N/A,pending,1263,1612367344,2025-05-16 01:56:00.543260,3.9,M1 1,https://sancarlo.co.uk/restaurants/fumo-manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=manchester
"One Piccadilly Gardens, Manchester M1 1RG",Shoryu Ramen,Manchester,N/A,pending,2914,,2025-05-16 01:56:06.997188,4.5,M1 1,https://www.shoryuramen.com/stores/76-manchester
"1, Peter House, Oxford St, Manchester M1 5AN",Giovannis - Italian Restaurant Manchester,Manchester,N/A,pending,2568,1612282482,2025-05-16 01:56:13.143090,3.9,M1 1,https://giovannis.co.uk/
"652 Ashton New Rd, Clayton, Manchester M11 4AT",Grove Inn,Manchester,N/A,pending,264,1612236522,2025-05-16 01:56:22.455548,4.3,M1 1,https://www.joseph-holt.com/pubs/grove-inn
"11 Baring St, Manchester M1 2PZ",mana,Manchester,N/A,pending,2892,,2025-05-16 01:56:32.681347,4.2,M1 1,https://www.escapetofreightisland.com/
"62 Oldham St, Manchester M4 1LE",Freight Island,Manchester,N/A,pending,2892,1614004455,2025-05-16 01:56:39.140948,4.2,M1 1,http://www.fress.uk/
"26 Richmond St, Manchester M1 3NB",Fress Restaurant & Bar,Manchester,N/A,pending,1443,1612379329,2025-05-16 01:56:47.840505,4.4,M1 1,http://www.themollyhouse.com/
"7 Ducie St, Manchester M1 2JB",The Molly House,Manchester,N/A,pending,1443,1613830033,2025-05-16 01:57:04.308372,4.6,M1 1,https://thereachmcr.com/eat/
"39-41 Parker St, Manchester M1 4AJ",Lock 84 Restaurant & Bar,Manchester,N/A,pending,22,1615269440,2025-05-16 01:57:11.868981,4.5,M1 1,https://www.eatitalian.co/
"Unit 9, Gateway House, Station Approach, Manchester M1 2GH",Eat Italian Manchester,Manchester,N/A,pending,151,1613021142,2025-05-16 01:57:26.614662,4.8,M1 1,https://www.chopstixnoodles.co.uk/stores/manchester-piccadilly
"23 Princess St, Manchester M2 4EB",Manchester Sora Restaurant,Manchester,N/A,pending,113,3300160380,2025-05-16 01:57:33.058469,4.7,M1 1,https://www.malmaison.com/locations/manchester-deansgate/sora/
"2 Canal St, Manchester M1 3HE",Village Brasserie,Manchester,N/A,pending,21,1612369003,2025-05-16 01:57:39.530674,4.1,M1 1,https://www.velvetmanchester.com/village-brasserie
"1-3 Piccadilly, Manchester M1 3AQ",Malmaison Manchester,Manchester,N/A,pending,2123,1616411883,2025-05-16 01:57:53.005667,4.3,M1 1,https://www.malmaison.com/locations/manchester/?utm_source=google&utm_medium=organic&utm_campaign=manchester-gmb
"92-94 Oldham St, Manchester M4 1LJ",Barburrito - Manchester Piccadilly Gardens,Manchester,N/A,pending,758,1612389088,2025-05-16 01:58:05.398111,4.3,M1 1,http://www.chefdiao.com/
"104 High St, Manchester M4 1HQ",63 Degrees,Manchester,N/A,pending,483,1618325438,2025-05-16 01:58:12.982355,4.3,M1 1,http://www.63degrees.co.uk/
"20 Hilton St, Manchester M1 1FR",Marco Reas Diner,Manchester,N/A,pending,323,,2025-05-16 01:58:26.823845,4.3,M1 1,http://www.ezraandgil.com/
"Unit 1, The Quadrangle, Chester St, Manchester M1 5QS",Ezra & Gil,Manchester,N/A,pending,2710,1612350712,2025-05-16 01:58:33.266577,4.6,M1 1,http://www.casamexica.co.uk/
"Nancy Spain’s, 21 Hilton St, Manchester M11 1JJ",Casa Mexica Manchester,Manchester,N/A,pending,40,21111,2025-05-16 01:58:40.183031,4.9,M1 1,https://nancyspains.co.uk/
"16 Chorlton St., Manchester M1 3HW",Home Chinese Manchester,Manchester,N/A,pending,467,1612229580,2025-05-16 01:58:46.725376,4.5,M1 1,http://homechinesemanchester.com/
"Portland St, Manchester M1 4PH","Fenix Restaurant and Bar, Manchester",Manchester,N/A,pending,1684,1617511412,2025-05-16 01:59:01.212044,4.6,M1 1,https://www.mercuremanchester.co.uk/manchester-restaurant/
"1 The Avenue, Deansgate, Manchester M3 3AP",THE BRASSERIE,Manchester,N/A,pending,2077,1618310288,2025-05-16 01:59:09.836665,4.2,M1 1,https://australasiamcr.co.uk/
"29-31 Sackville St, Manchester M1 3LZ",Australasia,Manchester,N/A,pending,2077,1612287396,2025-05-16 01:59:17.648920,4.3,M1 1,http://habesharestaurant.co.uk/
